Title;Book Author;Book Narrator;audioRuntime;Categories;average_rating;ratings_count;price;audioRuntime_converted;average_rating_converted;ratings_count_converted;category_converted
Travels with Charley in Search of America;John Steinbeck;Gary Sinise;07.58;Travel & Tourism;4.6;4254;10;3;4;3;22
In Charge of Moonlight;Dina Gregory;Matt Addis;0.05;Teen;4;79;6;1;4;1;21
Panic: Ghosts and Legends;Lauren Oliver;Camron Jones;03.13;Teen;4;40;7;2;4;1;21
We Were Liars;E. Lockhart;Ariadne Meyers;06.27;Teen;4;4759;10;3;4;3;21
Beautiful Creatures;Kami Garcia;Kevin T. Collins;17.33;Teen;4.1;5361;12;4;4;4;21
Lord of the Flies;William Golding;William Golding;06.35;Teen;4.2;7688;11;3;4;4;21
The 100;Kass Morgan;Justin Torres;07.17;Teen;4.2;1065;10;3;4;3;21
The Giver;Lois Lowry;Ron Rifkin;04.49;Teen;4.4;11683;11;3;4;4;21
A Court of Frost and Starlight;Sarah J. Maas;Amanda Leigh Cobb;06.23;Teen;4.4;5110;11;3;4;4;21
Fable;Adrienne Young;Emma Lysy;08.54;Teen;4.4;533;9;3;4;2;21
Shadow and Bone;Leigh Bardugo;Lauren Fortgang;09.21;Teen;4.4;8194;11;3;4;4;21
Divergent;Veronica Roth;Emma Galvin;11.11;Teen;4.4;35049;12;3;4;5;21
They Both Die at the End;Adam Silvera;Michael Crouch;08.30;Teen;4.5;4199;10;3;4;3;21
Tweet Cute;Emma Lord;Dan Bittner;10.08;Teen;4.5;235;9;3;4;2;21
The Cruel Prince;Holly Black;Caitlin Kelly;12.36;Teen;4.5;6982;11;3;4;4;21
Set Fire to the Gods;Sara Raasch;Andrew Eiden;12.41;Teen;4.5;40;8;3;4;1;21
Six of Crows;Leigh Bardugo;Jay Snyder;15.04;Teen;4.5;14132;12;4;4;4;21
The Ballad of Songbirds and Snakes;Suzanne Collins;Santino Fontana;16.16;Teen;4.5;17552;12;4;4;4;21
The Outsiders;S. E. Hinton;Jim Fyfe;05.08;Teen;4.6;6993;11;3;4;4;21
Star Wars: Ahsoka;E. K. Johnston;Ashley Eckstein;07.04;Teen;4.6;18140;11;3;4;4;21
A Snake's Rise;Kenneth Arant;Travis Baldree;08.32;Teen;4.6;73;8;3;4;1;21
Ruin and Rising;Leigh Bardugo;Lauren Fortgang;10.57;Teen;4.6;5741;11;3;4;4;21
Throne of Glass;Sarah J. Maas;Elizabeth Evans;13.03;Teen;4.6;893;9;3;4;2;21
The Book Thief;Markus Zusak;Allan Corduner;13.56;Teen;4.6;27353;12;3;4;5;21
A Court of Thorns and Roses;Sarah J. Maas;Jennifer Ikeda;16.07;Teen;4.6;16835;12;4;4;4;21
King of Scars;Leigh Bardugo;Lauren Fortgang;16.13;Teen;4.6;3103;11;4;4;3;21
Not Even Bones;Rebecca Schaeffer;Almarie Guerra;10.01;Teen;4.7;445;9;3;4;2;21
Scythe;Neal Shusterman;Greg Tremblay;10.32;Teen;4.7;15307;11;3;4;4;21
Firekeeper's Daughter;Angeline Boulley;Isabella Star LaBlanc;14.13;Teen;4.7;772;9;3;4;2;21
Rage and Ruin;Jennifer L. Armentrout;Lauren Fortgang;16.38;Teen;4.7;625;10;4;4;2;21
Heir of Fire;Sarah J. Maas;Elizabeth Evans;20.40;Teen;4.7;8950;12;4;4;4;21
Serpentine;Philip Pullman;Olivia Colman;0.26;Teen;4.8;5;6;1;4;1;21
100 Days of Sunlight;Abbie Emmons;Abbie Emmons;07.16;Teen;4.8;18;8;3;4;1;21
Dungeon Duel;James Hunter;Nick Podehl;09.32;Teen;4.8;661;9;3;4;2;21
Ocean of Tears;Michael Head;Travis Baldree;09.55;Teen;4.8;478;9;3;4;2;21
The Hate U Give;Angie Thomas;Bahni Turpin;11.50;Teen;4.8;43840;12;3;4;5;21
Algorithm;Dennis Vanderkerken;Travis Baldree;12.07;Teen;4.8;686;9;3;4;2;21
